age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
27,1,504264,820920,2,2,0,0
48,1,728556,831444,6,2,0,0
35,2,742936,726092,3,2,0,1
28,1,746556,930924,0,0,0,0
29,1,1139880,1902000,0,0,0,0
39,2,879784,802040,3,2,0,1
27,2,449268,847896,0,0,0,0
32,2,682036,805604,3,2,0,1
30,1,712956,866292,0,0,0,0
51,2,654988,661724,6,2,0,1
37,2,754156,656348,3,2,0,1
30,1,639636,840084,3,3,0,0
30,2,615636,929004,0,0,0,0
36,2,523464,779244,0,0,0,0
46,2,667356,808884,7,3,0,0
25,2,532188,722976,0,0,0,0
38,2,663108,784920,0,0,0,0
51,1,722536,772448,8,5,0,1
40,2,602916,764868,4,2,0,0
38,2,577740,897240,13,4,0,0
39,2,688588,757136,3,2,0,1
46,1,810556,796244,3,2,0,1
39,1,529228,728744,8,6,0,1
44,2,615636,818520,2,0,0,0
32,1,699108,805092,10,8,0,0
33,1,796156,743012,3,2,0,1
47,2,701364,924468,0,0,0,0
33,1,904212,1317648,2,0,0,0
38,2,727636,741380,3,2,0,1
32,2,632188,853868,6,5,0,1
42,1,496728,721548,9,6,0,0
26,1,873780,1264860,0,0,0,0
44,1,606636,939036,12,3,0,0
50,2,736936,746984,3,2,0,1
27,2,588036,1262640,0,0,0,0
28,1,739764,1236000,0,0,0,0
34,2,842956,972104,3,2,0,1
34,1,698148,884304,0,0,0,0
36,2,766584,1290888,2,0,0,0
41,2,966396,1307400,0,0,0,0
38,1,930028,1065872,5,4,0,1
38,2,560988,707244,3,2,0,0
30,2,446868,704136,0,0,0,0
45,1,673908,767352,2,0,0,0
39,2,850564,759200,8,5,0,1
37,2,520728,843792,2,0,0,0
34,2,630636,782496,5,2,0,0
45,1,764956,786200,3,2,0,1
37,1,577740,832056,0,0,0,0
28,1,401808,571692,0,0,0,0
31,2,544188,674592,2,2,0,0
40,2,618636,825084,2,2,0,0
43,1,677508,846000,0,0,0,0
47,2,699108,910260,0,0,0,0
47,2,1709916,2195352,2,2,0,0
