,loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
0,1,27,1.0,Aadhar,504264,820920,2,2,0,0
1,2,48,1.0,Aadhar,728556,831444,6,2,0,0
2,3,35,2.0,VoterID,742936,726092,3,2,0,1
3,4,28,1.0,Aadhar,746556,930924,0,0,0,0
4,5,29,1.0,Aadhar,1139880,1902000,0,0,0,0
5,6,39,2.0,Aadhar,879784,802040,3,2,0,1
6,7,27,2.0,Aadhar,449268,847896,0,0,0,0
7,8,32,2.0,Aadhar,682036,805604,3,2,0,1
8,9,30,1.0,Aadhar,712956,866292,0,0,0,0
9,10,51,2.0,Aadhar,654988,661724,6,2,0,1
10,11,37,2.0,Aadhar,754156,656348,3,2,0,1
11,12,30,1.0,Driving,639636,840084,3,3,0,0
12,13,30,2.0,Aadhar,615636,929004,0,0,0,0
13,14,36,2.0,Aadhar,523464,779244,0,0,0,0
14,15,46,2.0,Aadhar,667356,808884,7,3,0,0
15,16,25,2.0,Aadhar,532188,722976,0,0,0,0
16,17,38,2.0,Aadhar,663108,784920,0,0,0,0
17,18,51,1.0,VoterID,722536,772448,8,5,0,1
18,19,40,2.0,Aadhar,602916,764868,4,2,0,0
19,20,38,2.0,Aadhar,577740,897240,13,4,0,0
20,21,39,2.0,Aadhar,688588,757136,3,2,0,1
21,22,46,1.0,Aadhar,810556,796244,3,2,0,1
22,23,39,1.0,Aadhar,529228,728744,8,6,0,1
23,24,44,2.0,Aadhar,615636,818520,2,0,0,0
24,25,32,1.0,Aadhar,699108,805092,10,8,0,0
25,26,33,1.0,Aadhar,796156,743012,3,2,0,1
26,27,47,2.0,PAN,701364,924468,0,0,0,0
27,28,33,1.0,Aadhar,904212,1317648,2,0,0,0
28,29,38,2.0,Aadhar,727636,741380,3,2,0,1
29,30,32,2.0,Aadhar,632188,853868,6,5,0,1
30,31,42,1.0,Aadhar,496728,721548,9,6,0,0
31,32,26,1.0,Aadhar,873780,1264860,0,0,0,0
32,33,44,1.0,Aadhar,606636,939036,12,3,0,0
33,34,50,2.0,VoterID,736936,746984,3,2,0,1
34,35,27,2.0,Aadhar,588036,1262640,0,0,0,0
35,36,28,1.0,Aadhar,739764,1236000,0,0,0,0
36,37,34,2.0,Aadhar,842956,972104,3,2,0,1
37,38,34,1.0,Aadhar,698148,884304,0,0,0,0
38,39,36,2.0,Driving,766584,1290888,2,0,0,0
39,40,41,2.0,Aadhar,966396,1307400,0,0,0,0
40,41,38,1.0,Aadhar,930028,1065872,5,4,0,1
41,42,38,2.0,Aadhar,560988,707244,3,2,0,0
42,43,30,2.0,Aadhar,446868,704136,0,0,0,0
43,44,45,1.0,Aadhar,673908,767352,2,0,0,0
44,45,39,2.0,PAN,850564,759200,8,5,0,1
45,46,37,2.0,Aadhar,520728,843792,2,0,0,0
46,47,34,2.0,Aadhar,630636,782496,5,2,0,0
47,48,45,1.0,Aadhar,764956,786200,3,2,0,1
48,49,37,1.0,VoterID,577740,832056,0,0,0,0
49,50,28,1.0,Aadhar,401808,571692,0,0,0,0
50,51,31,2.0,Aadhar,544188,674592,2,2,0,0
51,52,40,2.0,Aadhar,618636,825084,2,2,0,0
52,53,43,1.0,VoterID,677508,846000,0,0,0,0
53,54,47,2.0,Aadhar,699108,910260,0,0,0,0
54,55,47,2.0,Aadhar,1709916,2195352,2,2,0,0
55,56,35,2.0,Aadhar,537868,649100,5,4,0,1
56,57,47,1.0,Aadhar,901228,855200,6,5,0,1
57,58,43,1.0,Aadhar,607360,761876,3,2,0,1
58,59,53,1.0,Aadhar,803908,701000,7,4,0,1
59,60,38,2.0,Aadhar,648936,825528,0,0,0,0
60,61,33,2.0,VoterID,630936,871632,0,0,0,0
61,62,34,2.0,Aadhar,775108,721412,3,2,0,1
62,63,41,1.0,Aadhar,616596,805560,9,7,0,0
63,64,45,2.0,Aadhar,445668,888000,2,0,0,0
64,65,46,2.0,Aadhar,469668,763800,0,0,0,0
65,66,37,2.0,Aadhar,615636,882216,0,0,0,0
66,67,37,1.0,Aadhar,768556,750500,5,4,0,1
67,68,29,2.0,Aadhar,514728,813168,0,0,0,0
68,69,44,1.0,Aadhar,624936,814800,2,2,0,0
69,70,43,2.0,VoterID,815188,1147304,3,2,0,1
70,71,42,1.0,Aadhar,1068232,1115600,6,2,0,1
71,72,46,2.0,Aadhar,358000,982400,19,9,0,1
72,73,47,2.0,VoterID,1063920,1912404,0,0,0,0
73,74,47,2.0,Aadhar,790584,896592,0,0,0,0
74,75,52,2.0,Aadhar,1485016,1958408,3,2,0,1
75,76,54,1.0,VoterID,748156,648452,7,4,0,1
76,77,37,2.0,Aadhar,736936,733244,5,4,0,1
77,78,34,2.0,Aadhar,740800,715460,3,2,0,1
78,79,36,2.0,VoterID,455268,873984,0,0,0,0
79,80,31,1.0,Aadhar,266352,818808,2,2,0,0
80,81,42,1.0,Aadhar,620728,566000,9,6,0,1
81,82,40,2.0,Aadhar,649356,805284,4,0,0,0
82,83,31,1.0,Aadhar,651108,790776,4,4,0,0
83,84,29,2.0,Aadhar,1070256,1786476,0,0,0,0
84,85,46,1.0,Aadhar,785356,720812,6,4,0,1
85,86,32,1.0,Aadhar,627028,713636,3,2,0,1
86,87,35,1.0,Aadhar,695532,868104,8,3,0,0
87,88,38,1.0,Aadhar,780276,868608,8,7,0,0
88,89,54,2.0,Aadhar,776956,717560,3,2,0,1
89,90,37,2.0,Aadhar,668188,676400,3,2,0,1
90,91,51,2.0,PAN,796156,898880,3,2,0,1
91,92,43,,Aadhar,722556,997620,2,2,0,0
92,93,54,2.0,VoterID,1269880,1786280,3,2,0,1
93,94,42,1.0,Aadhar,433948,802400,7,5,0,1
94,95,37,2.0,Aadhar,508728,1197960,2,2,0,0
95,96,46,2.0,Aadhar,865476,1044000,0,0,0,0
96,97,50,2.0,Aadhar,740716,824156,3,2,0,1
97,98,46,2.0,Aadhar,633636,1076676,2,0,0,0
98,99,47,2.0,Aadhar,749124,915960,3,2,0,0
99,100,49,2.0,Aadhar,619836,808872,16,8,0,0
100,101,45,2.0,VoterID,671740,777980,9,5,0,1
101,102,30,2.0,Aadhar,767364,889224,0,0,0,0
102,103,43,,Aadhar,730636,716012,15,5,0,1
103,104,38,1.0,Driving,1257880,1785104,3,2,0,1
104,105,49,1.0,Aadhar,596428,705380,3,2,0,1
105,106,37,2.0,PAN,967732,1138700,3,2,0,1
106,107,51,2.0,Aadhar,772108,774128,6,5,0,1
107,108,36,2.0,Aadhar,800956,806000,9,4,0,1
108,109,26,1.0,VoterID,567564,835824,0,0,0,0
109,110,28,2.0,Aadhar,622536,807840,0,0,0,0
110,111,33,2.0,Aadhar,803628,1255164,0,0,0,0
111,112,31,1.0,Aadhar,657108,798000,3,0,0,0
112,113,42,2.0,Aadhar,518520,759024,0,0,0,0
113,114,40,2.0,Aadhar,782668,741272,5,4,0,1
114,115,48,2.0,Aadhar,918676,1382072,14,7,0,1
115,116,41,2.0,Aadhar,448348,447284,5,4,0,1
116,117,45,2.0,Aadhar,878584,863816,5,4,0,1
117,118,37,1.0,Aadhar,790708,707000,3,2,0,1
118,119,50,2.0,VoterID,390748,658352,13,6,0,1
119,120,47,2.0,Aadhar,716556,835848,0,0,0,0
120,121,43,2.0,Aadhar,737364,843396,0,0,0,0
